age,sex,total
28,M,36
30,F,35
29,M,34
32,M,33
29,F,33
35,M,32
26,F,30
33,F,30
31,M,29
32,F,29
50,M,27
34,F,27
28,F,27
31,F,27
47,F,26
30,M,26
26,M,26
58,M,26
37,M,25
48,F,25
54,M,25
39,F,25
36,M,25
42,F,24
45,F,24
34,M,24
38,F,24
50,F,23
25,M,23
45,M,23
59,M,22
41,M,22
51,M,22
23,F,21
37,F,21
48,M,21
33,M,21
49,M,20
44,F,20
42,M,20
55,M,20
22,F,20
64,M,20
57,M,20
47,M,19
36,F,19
57,F,19
62,M,19
49,F,19
55,F,19
54,F,19
21,F,19
27,F,19
24,F,19
27,M,18
53,F,18
58,F,18
25,F,18
40,M,18
38,M,18
24,M,18
52,M,18
61,F,18
40,F,18
46,M,17
56,M,17
43,M,16
56,F,16
52,F,16
41,F,16
61,M,16
67,F,16
51,F,15
39,M,15
62,F,15
70,M,15
72,M,15
43,F,14
23,M,13
65,M,13
60,F,13
60,M,12
53,M,12
21,M,12
63,F,12
59,F,12
44,M,12
66,M,11
74,F,11
20,M,10
71,M,10
22,M,10
66,F,10
64,F,10
68,F,9
35,F,9
19,F,9
73,F,9
63,M,8
19,M,8
65,F,8
18,M,8
18,F,8
46,F,8
73,M,8
15,M,7
69,F,7
69,M,7
75,M,7
15,F,7
75,F,6
68,M,6
70,F,6
71,F,6
82,M,5
76,F,5
20,F,5
2,F,5
16,F,5
8,F,5
12,M,5
78,M,5
77,M,5
2,M,5
9,M,4
9,F,4
88,M,4
13,M,4
83,F,4
72,F,4
74,M,4
84,F,4
17,M,4
80,M,4
80,F,4
79,F,4
0,M,3
5,F,3
76,M,3
77,F,3
78,F,3
1,F,3
1,M,3
85,F,3
81,M,3
5,M,3
67,M,3
14,M,3
83,M,3
84,M,3
79,M,3
12,F,2
10,M,2
16,M,2
0,F,2
3,F,2
81,F,2
87,M,2
87,F,2
85,M,2
82,F,2
91,F,2
6,M,2
6,F,2
93,F,1
90,M,1
11,M,1
94,F,1
92,M,1
95,F,1
96,F,1
11,F,1
86,M,1
88,F,1
3,M,1
17,F,1
7,M,1
7,F,1
97,F,1
4,M,1
4,F,1
98,M,1
