date,care,total,cumsum
12/03/2020,Casa,2,2
14/03/2020,Casa,2,4
15/03/2020,Casa,3,7
16/03/2020,Casa,3,10
17/03/2020,Casa,8,18
18/03/2020,Casa,12,30
19/03/2020,Casa,13,43
20/03/2020,Casa,26,69
21/03/2020,Casa,16,85
22/03/2020,Casa,13,98
23/03/2020,Casa,40,138
24/03/2020,Casa,87,225
25/03/2020,Casa,51,276
26/03/2020,Casa,8,284
27/03/2020,Casa,41,325
28/03/2020,Casa,50,375
29/03/2020,Casa,82,457
30/03/2020,Casa,75,532
31/03/2020,Casa,87,619
01/04/2020,Casa,126,745
02/04/2020,Casa,87,832
03/04/2020,Casa,75,907
04/04/2020,Casa,115,1022
05/04/2020,Casa,54,1076
06/04/2020,Casa,67,1143
07/04/2020,Casa,157,1300
08/04/2020,Casa,205,1505
09/04/2020,Casa,116,1621
10/04/2020,Casa,192,1813
