age,sex,total
30-39,M,330
30-39,F,323
50-59,M,288
20-29,F,273
20-29,M,261
40-49,F,256
40-49,M,242
50-59,F,227
60-69,M,161
60-69,F,157
70-79,M,112
70-79,F,73
10-19,M,64
10-19,F,52
0-9,F,40
80-89,F,37
0-9,M,34
80-89,M,32
90-99,F,12
90-99,M,5
