date,care,total,cumsum
06/03/2020,Recuperado,1,1
09/03/2020,Recuperado,2,3
11/03/2020,Recuperado,5,8
12/03/2020,Recuperado,1,9
13/03/2020,Recuperado,3,12
14/03/2020,Recuperado,6,18
15/03/2020,Recuperado,15,33
16/03/2020,Recuperado,8,41
17/03/2020,Recuperado,6,47
18/03/2020,Recuperado,11,58
19/03/2020,Recuperado,9,67
20/03/2020,Recuperado,8,75
21/03/2020,Recuperado,7,82
22/03/2020,Recuperado,5,87
23/03/2020,Recuperado,3,90
27/3/2020,Recuperado,1,91
28/3/2020,Recuperado,1,92
30/3/2020,Recuperado,1,93
31/3/2020,Recuperado,4,97
01/04/2020,Recuperado,3,100
