age,sex,total
30-39,F,235
30-39,M,234
50-59,M,194
20-29,F,193
20-29,M,192
40-49,F,184
40-49,M,173
50-59,F,158
60-69,F,112
60-69,M,101
70-79,M,62
70-79,F,48
10-19,M,39
10-19,F,31
0-9,F,25
80-89,M,23
80-89,F,21
0-9,M,20
90-99,F,7
90-99,M,2
